Date,Deal Type,Chinese Party,Foreign Party,Asset,Therapeutic Area,Stage,Total Value (USD),Upfront (USD),Territory,Modality,Highlights,Source,Source URL
October 2023,newco-spinout,Jiangsu Hengrui Pharmaceuticals,Aiolos Bio (later acquired by GSK for $1.4B),"HRS-1167 (anti-TSLP antibody for asthma, Phase 2)",Immunology – Asthma,Phase 2,$1.4B,$25M,Global ex-China,Monoclonal Antibody,"The original China NewCo deal — Hengrui licensed its TSLP antibody to newly formed Aiolos Bio for just $25M upfront, which raised $245M from VCs. Only three months later GSK acquired Aiolos for $1B+$400M earn-out, with all windfall going to VCs. Hengrui received nothing from the sale. This deal defined the NewCo model and taught Chinese companies to always retain equity.",BioXconomy,https://www.bioxconomy.com/investment/a-growing-phenomenon-the-rise-of-biopharma-newcos-in-china
December 2023,licensing-out,SystImmune (Biokin Pharmaceutical subsidiary),Bristol Myers Squibb,Izalontamab brengitecan (EGFRxHER3 bispecific ADC),"Oncology – Solid Tumors (NSCLC, Breast Cancer)",Phase 3,$8.4B,$800M,Global ex-China,ADC,"The largest upfront payment for a China-originating out-licensing deal in 2023 at $800M. BMS secured ex-China rights to this EGFRxHER3 bispecific ADC, which subsequently posted positive Phase 3 results in China and encouraging early global trial data (55% ORR). The deal cemented China's position as a leading source of ADC innovation for global pharma.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/bristol-myers-systimmune-collaborate-cancer-drug-development-2023-12-11/
January 2024,licensing-out,MediLink Therapeutics,Roche,YL211 (c-MET ADC),Oncology – Solid Tumors,Phase 1,$1B,Not disclosed,Global ex-China,ADC,"Roche's return to ADCs after years of publicly expressing limited interest, kickstarted by licensing MediLink's c-MET-targeting ADC YL211. The deal marked a shift in Roche's strategy after Enhertu trounced Kadcyla in head-to-head trials, and signaled China as a critical ADC innovation hub for the Swiss pharma giant.",FierceBiotech,https://www.fiercebiotech.com/biotech/biopharma-cant-stop-dealmaking-over-christmas-see-what-jj-roche-and-more-had-their
March 2024,licensing-out,MediLink Therapeutics,BioNTech,TMALIN ADC platform (multiple undisclosed targets),Oncology – Solid Tumors,Platform,$1.8B,$25M,Global ex-China,ADC,"BioNTech expanded its existing MediLink collaboration (first deal in Oct 2023 for HER3 ADC at $70M upfront), paying $25M upfront to access MediLink's TMALIN platform for several BioNTech-selected targets. The deal has up to $1.8B in milestones and reflects BioNTech's strategy to build a broad ADC pipeline partially sourced from China.",FierceBiotech,https://www.fiercebiotech.com/biotech/biontech-pays-25m-upfront-strengthen-adc-bond-chinas-medilink
May 2024,newco-spinout,Jiangsu Hengrui Pharmaceuticals,"Kailera Therapeutics (formerly Hercules CM NewCo; backed by Bain Capital, RTW, Atlas Venture, Lyra Capital)","HRS-7535 (oral GLP-1, Phase 2), HRS-9531 (GLP-1/GIP dual agonist, Phase 2), HRS-4729 (preclinical) — obesity/diabetes portfolio",Metabolic – Obesity / Diabetes,Phase 2,$5.9B+,$110M,Global ex-China,Small Molecule,"Hengrui's second NewCo and the most prominent China spinout to date. After losing all upside from the Aiolos/GSK deal, Hengrui retained a 19.9% equity stake this time. The $400M VC round (Bain $225M, RTW $110M, Atlas $50M, Lyra $15M) was one of the largest NewCo launches ever. Renamed Kailera Therapeutics in October 2024 with veteran CEO Ron Renaud and Gilead's former CEO John Milligan as board chair.",BioPharma Dive,https://www.biopharmadive.com/news/hercules-hengrui-glp-1-diabetes-obesity-bain-atlas-rtw/716371/
June 2024,licensing-out,Biotheus,BioNTech,PM8002 (PD-L1/VEGF bispecific antibody),Oncology – Solid Tumors,Phase 2,$1B+,$55M,Global ex-China,Bispecific Antibody,"BioNTech licensed ex-China rights to Biotheus's PM8002, a PD-L1/VEGF bispecific antibody in Phase 2 for solid tumors, for $55M upfront and over $1B in milestones. The bispecific aims to combine immune checkpoint inhibition with anti-angiogenesis in a single molecule, potentially offering differentiated efficacy with reduced toxicity. BioNTech continues building its oncology pipeline from Chinese innovators.",FierceBiotech,https://www.fiercebiotech.com/biotech/biontech-adds-bispecific-candidate-mrna-delivery-startup-cancer-work-takes-center-stage
July 2024,licensing-out,LaNova Medicines,AstraZeneca,GPRC5D-targeting ADC (for multiple myeloma),Oncology – Multiple Myeloma,Phase 1,Not disclosed,$55M,Global ex-China,ADC,"AstraZeneca licensed LaNova's GPRC5D-targeting ADC for multiple myeloma for $55M upfront. GPRC5D is an emerging target in hematologic malignancies, and this early deal predated LaNova's larger deals with Merck. This was one of LaNova's first major licensing agreements, validating its innovative ADC platform capabilities.",BioPharma Dive,https://www.biopharmadive.com/news/lanova-sino-biopharm-acquisition-china-cancer-drug/753051/
July 2024,licensing-out,Jiangsu Hengrui Pharmaceuticals,GSK,"Multi-asset collaboration (COPD, immunology, oncology drugs)",Respiratory / Immunology / Oncology,Not disclosed,$12.5B,$500M,Global ex-China,Not disclosed,"GSK paid $500M upfront to enter a wide-ranging alliance with Hengrui spanning COPD, immunology and cancer drugs, with total deal value up to $12.5B. One of the largest China biotech licensing deals ever, it reflects GSK's strategic bet on validated Chinese targets to rebuild its pipeline. Hengrui continues to establish itself as one of China's most prolific out-licensing partners.",BioPharma Dive,https://www.biopharmadive.com/news/gsk-hengrui-collaboration-copd-immunology-cancer-drugs/754161/
July 2024,newco-spinout,Keymed Biosciences,Belenos Biosciences (backed by OrbiMed),CM512 and CM536 (two bispecific antibody candidates for autoimmune diseases),Immunology – Autoimmune,Preclinical,$185M,$15M,Global ex-Greater China,Bispecific Antibody,"Keymed Biosciences' first NewCo deal, following Hengrui's playbook but with stronger equity terms — a 30% stake vs Hengrui's 19.9% in Kailera. OrbiMed created Belenos as a Delaware-incorporated autoimmunity-focused NewCo. Two bispecific antibody candidates with undisclosed targets licensed for $15M upfront and up to $170M in milestones.",Pharmaceutical Technology,https://www.pharmaceutical-technology.com/features/newco-licensing-models-are-tipping-deals-in-favour-of-chinas-biotechs/
August 2024,licensing-out,ImmuneOnco Biopharma,Instil Bio,IMM2510 (PD-L1/VEGF bispecific antibody),Oncology – NSCLC / Solid Tumors,Phase 1,Not disclosed,Not disclosed,Global ex-China,Bispecific Antibody,"Instil Bio licensed ex-China rights to ImmuneOnco Biopharma's IMM2510, a PD-L1/VEGF bispecific antibody, in August 2024. The drug has shown promising early data in China in lung cancer, and the FDA approved a Phase 1b/2 trial in the US. This was an early entry in the PD-1/VEGF bispecific wave that later attracted Pfizer/3SBio and BMS/BioNTech mega-deals, validating China as the originator of this mechanism.",FierceBiotech,https://www.fiercebiotech.com/biotech/instils-licensed-pd-l1xvegf-bispecific-shows-promise-china-instilling-hope-upcoming-us-test
